"concept_rank","concept_name","one_sentence_description","problem_solved","current_tools_fail_because","why_compelling_for_adhd_users","why_it_could_win","technical_build_difficulty","demo_quality","ethical_privacy_risk","real_pain_severity","unmet_need","evidence_support","uniqueness","emotional_resonance","clarity_90s_demo","feasibility_24_36h","accessibility_empowerment","technical_impressiveness","judge_friendliness","privacy_ethics_safety","weighted_total"
"1","ThreadBack","AI re-entry cards restore context after interruptions and point to the next tiny step","Interruption recovery and task resumption","Planners store tasks but not live mental context or restart cues","It solves the exact 'what was I doing again?' problem without requiring more planning","Clear before-and-after story, accessibility framing, and credible AI use","Medium","Very High","Medium","9","9","8","9","10","10","8","9","8","10","7","89.2"
"2","Launch Ladder","Turns 'I cannot start' into one tiny action, a timer, and optional accountability","Task initiation under overwhelm","Many apps decompose tasks but do not ignite action in the moment","Fast relief from paralysis is highly relatable and phone-friendly","Very buildable and useful, with a simple story judges understand instantly","Low-Medium","High","Low","9","8","8","7","9","9","9","8","6","9","8","83.4"
"3","Haptic Anchor","A wearable or desk button captures current task state and later pings a resume cue","Interruption recovery with stronger physical cues","Phone prompts are easy to ignore and most tools do not create a physical anchor","A tactile cue can cut through notification blindness and feel genuinely assistive","Hardware plus accessibility creates memorable demo theater","Medium-High","Very High","Medium","8","8","6","9","9","10","6","9","9","10","8","81.7"
"4","Sticky Context Browser","Preserves research or work context in the browser as resumable bundles","Losing research thread across tabs","Browsers show tabs, not intent or task state","Useful for students and knowledge workers with tab chaos","Clean student demo with visible transformation","Medium","High","Medium","8","8","7","8","8","9","8","8","8","8","6","79.5"
"5","Reset Ritual","A shame-safe daily reset flow helps users restart after a derailed day","Shame spiral after missing tasks","Most systems punish misses or simply keep piling tasks up","It acknowledges the emotional crash and helps momentum return","Human, empathetic, and highly relatable for judges","Low","Medium-High","Low","8","8","7","7","9","8","9","8","5","8","9","79.0"
"6","Deadline Triage","When users fall behind, it shows what to do now, defer, or drop","Backlog panic and missed deadlines","Most tools assume a clean slate instead of failure recovery","Students and professionals both feel this pain sharply","High judge relatability and a simple narrative","Medium","High","Low-Medium","8","8","7","8","8","9","7","7","7","9","7","77.8"
"7","Future Breadcrumbs","Voice plus context tags help future self restart later from a phone-first flow","Remembering and restarting delayed intentions","Voice memos are too messy to act on later","Phone-native and emotionally intuitive","Good fallback if only mobile is available","Low-Medium","High","Medium","8","8","7","8","8","8","8","8","6","8","7","77.6"
"8","Focus Relay","One tap launches AI or human body-doubling support when stuck","Need for accountability","Current body-doubling tools require scheduling and social effort","Combines accountability with low-friction rescue","Good social demo and obvious usefulness","Medium","High","Medium","8","7","7","7","8","9","8","7","7","8","7","76.5"
"9","Reflect and Restart","A short emotional check-in reframes the setback and turns it into the next action","Emotional dysregulation after failure","Emotion support and task support are usually separated","Validates the user without becoming a therapy app","Strong emotional resonance for judges","Low-Medium","Medium-High","Medium","8","8","7","7","9","7","8","8","5","8","8","76.3"
"10","Nudge Ladder","Reminders escalate across modalities until the user actually re-engages","Reminder blindness","Static reminders are easy to ignore or miss","Targets a common and concrete complaint","Easy to understand and visually demo","Medium","High","Medium","8","7","8","6","7","8","9","8","6","8","7","75.9"
