"cluster","cluster_type","coded_sample_n","approx_mentions_in_coded_sample","severity_1_10","demoability_1_10","representative_signals","why_existing_tools_fail","opportunity_implication","source_ids"
"hard_to_start_and_get_unstuck","workflow","31","9","9","9","Users want quick custom planning, first-step help, and low-pressure accountability rather than more modules or static lists","Most tools help organize or educate; fewer help users convert overwhelm into a first tiny action at the exact moment of friction","A rescue flow that creates one small next step remains highly valuable, especially on phone","S18;S28;S31;S32;S34"
"interruption_recovery_and_losing_the_thread","workflow","31","7","9","10","Users describe days getting thrown off by kids, work fires, or context shifts; low-priority work disappears until forgotten","Most apps store tasks, not the live task state, reason, last progress, or next re-entry step","This is the strongest white space for a weekend build with a dramatic before/after demo","S10;S11;S13;S21;S34"
"reminders_fail_or_blend_in","workflow","31","8","8","9","Users report missing reminders, silent notifications, or reminders that are hard to enable and easy to ignore","Static notifications do not adapt to context, urgency, or whether the user has actually resumed the task","Adaptive reminders or re-entry cues outperform simple reminder apps in judge demos","S16;S20;S23;S25"
"too_much_setup_too_many_systems","workflow","31","8","8","8","Users say they need everything in one place and get overwhelmed switching between apps and systems","ADHD-targeted planning tools often add another layer of administration instead of removing one","A concept that minimizes configuration and works from one tap has an advantage","S18;S21;S24;S34"
"generic_content_not_in_the_moment_rescue","workflow_emotional","31","7","9","8","Users criticize quizzes, modules, and generic advice when what they need is a situational rescue right now","Psychoeducation is useful but low-leverage in moments of overwhelm or derailment","Best concepts should feel like assistive technology, not self-help content","S08;S16;S17;S18"
"bugs_sync_failures_break_trust","environment","31","11","7","7","Crashes, freezing, disappearing tasks, login issues, and calendar sync failures show up repeatedly","For ADHD users, one technical failure often means total abandonment because the tool is supposed to reduce burden, not add it","Weekend MVP must be narrow and reliable rather than broad and fragile","S16;S20;S23;S25;S28;S34;S36"
"subscription_mistrust_and_paywall_fatigue","environment_emotional","31","9","7","6","Users describe ADHD tax, forgotten renewals, and essential features behind costly subscriptions","Inconsistent use makes subscription psychology especially painful in ADHD markets","A hackathon pitch should avoid predatory patterns and emphasize clear value before any monetization talk","S15;S17;S24;S34;S36"
"need_accountability_but_social_friction_limits_use","social_workflow","31","5","7","8","Body doubling helps, but users complain about partner availability, continuity, and social pressure","Human accountability works but is not always available or comfortable","A hybrid path with optional accountability but strong solo mode is more robust","S29;S30;S31;S32"
"shame_and_guilt_after_derailment","emotional","31","5","9","7","Users joke about needing reminders to set reminders, paying for unused apps, and feeling exploited or left behind","Most tools either ignore the emotional crash after failure or make it worse with streak logic and missed-task piles","Judges respond well to a design that reduces self-blame and restores momentum quickly","S04;S05;S17;S21;S34"
"poor_personalization_and_context_awareness","workflow","31","6","8","8","Users ask for reminders tied to the specific tasks they forget and complain that apps do not understand their real situation","Generic planning layers often ignore current context, recent progress, or the user's actual blockage","Context-aware rescue is more differentiated than another universal planner","S07;S08;S18;S34"
